127.0.0.1 - - [13/Sep/2019:09:09:06 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:09:08 +0530] "GET /Blog/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:09:08 +0530] "GET /Blog/bmw.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:09:08 +0530] "GET /Blog/ferrari.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:09:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:13:14 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:13:27 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:13:42 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:14:59 +0530] "GET /Blog/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:15:05 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:15:32 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:15:49 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:16:28 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:18:16 +0530] "GET /Blog/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:18:59 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:19:31 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2575
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:19:46 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:29:50 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2385
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:31:51 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:19 +0530] "GET /Blog/Blog.html HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:20 +0530] "GET /Blog/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:20 +0530] "GET /Blog/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:20 +0530] "GET /Blog/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:20 +0530] "GET /Blog/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:20 +0530] "GET /Blog/Blog.html HTTP/1.1" 304 -
